Date,Close,Open,High,Low,Volume,Symbol,Company
2020-08-31 22:44:32.558020,30.686831619340488,30.600720597332753,31.08935400325955,29.844231751349767,451030,EQTY,Equity Group Holdings
2020-09-01 22:44:32.558020,30.114408964565662,30.381318413204628,30.907537410397754,29.37413139327058,506942,EQTY,Equity Group Holdings
2020-09-02 22:44:32.558020,30.375034701452805,29.795677053517107,30.780463462267527,29.19894599421327,625538,EQTY,Equity Group Holdings
2020-09-03 22:44:32.558020,30.450305349321546,30.38978910592211,31.107203474576014,30.32774648647728,764252,EQTY,Equity Group Holdings
2020-09-04 22:44:32.558020,30.152500987853934,30.51128861695881,31.15208806682545,29.183065581643216,361648,EQTY,Equity Group Holdings
2020-09-05 22:44:32.558020,29.839468685332633,29.35292165627048,30.919179733399336,29.533319847581915,477232,EQTY,Equity Group Holdings
2020-09-06 22:44:32.558020,31.561637620981955,31.484193976710937,33.09406733107371,30.339840791928193,921124,EQTY,Equity Group Holdings
2020-09-07 22:44:32.558020,31.24442652047269,31.44618548541833,31.667230084331774,30.630937989726363,131608,EQTY,Equity Group Holdings
2020-09-08 22:44:32.558020,31.629560108666585,31.453375102392904,32.958545706846934,30.29056388228649,926183,EQTY,Equity Group Holdings
2020-09-09 22:44:32.558020,31.96894198872826,31.700395549433537,32.25061265549666,31.429643796415927,417991,EQTY,Equity Group Holdings
2020-09-10 22:44:32.558020,32.350490317086596,32.915132902817476,32.373437709445575,31.20255101282372,707690,EQTY,Equity Group Holdings
2020-09-11 22:44:32.558020,32.221059117135574,31.950897729373192,33.51456852949845,30.998915047748646,946640,EQTY,Equity Group Holdings
2020-09-12 22:44:32.558020,31.83703408202305,31.734195418183326,32.39871481565603,30.87683486792788,501296,EQTY,Equity Group Holdings
2020-09-13 22:44:32.558020,31.8251029403934,31.428408719349964,32.05113135138917,31.360430276566007,830042,EQTY,Equity Group Holdings
2020-09-14 22:44:32.558020,32.5487840612073,33.021935535416624,32.89397488268407,32.477793271163144,702060,EQTY,Equity Group Holdings
2020-09-15 22:44:32.558020,33.24652911448206,32.94150211848287,33.8033241733247,33.15083862017796,554423,EQTY,Equity Group Holdings
2020-09-16 22:44:32.558020,33.93000817146334,34.503459099745946,35.18888255929748,32.89970008795503,260867,EQTY,Equity Group Holdings
2020-09-17 22:44:32.558020,33.55975293796354,33.930535879300905,34.137041033390744,32.4781409816494,16677,EQTY,Equity Group Holdings
2020-09-18 22:44:32.558020,32.686916061300764,33.11367018841004,33.66440355763167,32.650952552195136,233562,EQTY,Equity Group Holdings
2020-09-19 22:44:32.558020,32.49810819309688,31.953241748882405,33.43292821675549,31.649592502365582,412851,EQTY,Equity Group Holdings
2020-09-20 22:44:32.558020,32.21500104091558,32.843203987956,32.6357149521723,31.55312091567391,193118,EQTY,Equity Group Holdings
2020-09-21 22:44:32.558020,31.2265227659819,31.67247073902312,31.57160937430004,31.21261109340557,713675,EQTY,Equity Group Holdings
2020-09-22 22:44:32.558020,30.830595507305706,31.060746298284982,31.33500240813355,30.32464946984504,934251,EQTY,Equity Group Holdings
2020-09-23 22:44:32.558020,30.92467347512907,30.88219073271744,31.680956373316064,30.01211239471524,315675,EQTY,Equity Group Holdings
2020-09-24 22:44:32.558020,30.77159666382074,30.918409226784714,32.16582249307956,29.838929924640667,792686,EQTY,Equity Group Holdings
2020-09-25 22:44:32.558020,31.118356225749935,30.67295138893801,31.83536256492033,30.47471305732598,34112,EQTY,Equity Group Holdings
2020-09-26 22:44:32.558020,32.14440879010554,32.222252413546386,32.29365386694991,31.87412060590198,28701,EQTY,Equity Group Holdings
2020-09-27 22:44:32.558020,31.694357486875607,31.25717627831889,31.72645012528652,30.744533513832184,799165,EQTY,Equity Group Holdings
2020-09-28 22:44:32.558020,32.00990071581799,32.16614920158668,32.89517171161628,31.760686261815017,509859,EQTY,Equity Group Holdings
2020-09-29 22:44:32.558020,31.57846197336062,31.560128955905974,32.547760309299804,30.35325992286495,414660,EQTY,Equity Group Holdings
2020-09-30 22:44:32.558020,31.43163299726874,31.338516802301807,32.23272255760633,30.33094301073889,159631,EQTY,Equity Group Holdings
2020-10-01 22:44:32.558020,31.909314112778286,31.66465910287294,33.09696583913221,30.7980954665372,505465,EQTY,Equity Group Holdings
2020-10-02 22:44:32.558020,32.70077882202741,32.94445440746344,33.44136714069368,32.09979156393959,318980,EQTY,Equity Group Holdings
2020-10-03 22:44:32.558020,32.269625375248545,32.243035105855206,33.204426047587255,30.862672030076517,551045,EQTY,Equity Group Holdings
2020-10-04 22:44:32.558020,32.194061505654204,31.665162764767995,32.42647250034485,31.590123305468715,456806,EQTY,Equity Group Holdings
2020-10-05 22:44:32.558020,33.34568053994276,33.8768975612221,34.45061665409253,31.86279937212844,67052,EQTY,Equity Group Holdings
2020-10-06 22:44:32.558020,33.52670575585302,33.8193163186203,35.00166411231348,32.02080578734085,357624,EQTY,Equity Group Holdings
2020-10-07 22:44:32.558020,34.296542284281124,34.41300879624007,34.45755071415765,33.04343726187768,498367,EQTY,Equity Group Holdings
2020-10-08 22:44:32.558020,34.25735666806168,34.81150961858637,35.368758362673084,33.134051272579605,856626,EQTY,Equity Group Holdings
2020-10-09 22:44:32.558020,34.64763423756575,34.234922077199094,36.086026620821954,33.50920640902351,395315,EQTY,Equity Group Holdings
2020-10-10 22:44:32.558020,34.65123824155558,34.72883970573591,35.923428099471636,33.99864861008652,763339,EQTY,Equity Group Holdings
2020-10-11 22:44:32.558020,34.90374757315723,34.38321683180124,36.27996694462844,34.26151951878399,942274,EQTY,Equity Group Holdings
2020-10-12 22:44:32.558020,35.175542175364605,35.72588661208004,35.77411217278729,34.43775436854707,278841,EQTY,Equity Group Holdings
2020-10-13 22:44:32.558020,35.128908346351075,34.96707010447232,35.46757728914273,34.51020204080297,704137,EQTY,Equity Group Holdings
2020-10-14 22:44:32.558020,35.022087139182005,34.90102795107335,35.957776917841976,33.85930285409766,187486,EQTY,Equity Group Holdings
2020-10-15 22:44:32.558020,34.86918188815704,34.73994898795589,35.52707434663506,34.193504440748825,249018,EQTY,Equity Group Holdings
2020-10-16 22:44:32.558020,34.5768582569759,34.72391275392517,35.33110972815147,33.767904952540555,512111,EQTY,Equity Group Holdings
2020-10-17 22:44:32.558020,34.186419625778306,33.90549016479602,35.311982567707254,32.726714821802396,70313,EQTY,Equity Group Holdings
2020-10-18 22:44:32.558020,34.60671160860691,34.360619293972185,35.261487621037105,33.9641333752308,880704,EQTY,Equity Group Holdings
2020-10-19 22:44:32.558020,33.607137810429116,33.00484905578005,34.10882912284928,33.13561067558013,960664,EQTY,Equity Group Holdings
2020-10-20 22:44:32.558020,33.469710329053214,33.72288333793285,34.079212950590936,32.004233779324395,897210,EQTY,Equity Group Holdings
2020-10-21 22:44:32.558020,33.973368124311115,34.073360645651476,35.12090057884603,33.296647532774436,429037,EQTY,Equity Group Holdings
2020-10-22 22:44:32.558020,33.56052228508255,33.60235108321703,33.92026908429545,32.65348409154363,698574,EQTY,Equity Group Holdings
2020-10-23 22:44:32.558020,34.9616293937231,34.420937718153155,35.382543113065175,34.68606791302459,180189,EQTY,Equity Group Holdings
2020-10-24 22:44:32.558020,35.32159221915469,35.46331249732179,35.39055427284198,33.962120146642164,955867,EQTY,Equity Group Holdings
2020-10-25 22:44:32.558020,34.491972419815276,34.01270263408564,34.79802022207633,33.10143644785509,258885,EQTY,Equity Group Holdings
2020-10-26 22:44:32.558020,33.96396334960726,33.91202200497386,35.16546971274686,33.24595666711894,294254,EQTY,Equity Group Holdings
2020-10-27 22:44:32.558020,33.658380796328004,33.02377554768036,34.14730356369618,33.46932982548792,833835,EQTY,Equity Group Holdings
2020-10-28 22:44:32.558020,33.952668454002406,33.815120998104526,34.139896730560096,33.102025891581654,512587,EQTY,Equity Group Holdings
2020-10-29 22:44:32.558020,34.82360797171116,34.96884092132832,35.31058600770617,34.032567156085285,47016,EQTY,Equity Group Holdings
2020-10-30 22:44:32.558020,34.52098638016787,34.94247852910177,34.7827793262426,33.64109054319229,412443,EQTY,Equity Group Holdings
2020-10-31 22:44:32.558020,34.63853182336877,34.28321376977751,36.28050794711724,33.80457849697595,845814,EQTY,Equity Group Holdings
2020-11-01 22:44:32.558020,34.04843737590385,34.35480721752094,34.95754069107408,32.985169856201175,365287,EQTY,Equity Group Holdings
2020-11-02 22:44:32.558020,34.43601312183011,34.01513436177014,36.12672633873125,33.47795954327532,852076,EQTY,Equity Group Holdings
2020-11-03 22:44:32.558020,35.736802170624,35.3789641396258,36.089309469888,35.727453612579026,465158,EQTY,Equity Group Holdings
2020-11-04 22:44:32.558020,35.26301596791387,34.81996386886491,36.6738179717499,34.364061722184616,90712,EQTY,Equity Group Holdings
2020-11-05 22:44:32.558020,35.62388101191031,35.96896802225164,36.98418005218619,34.60675422321889,613760,EQTY,Equity Group Holdings
